User,Text,emoji_pos,emoji_neg,emoji_neu,num_emoji_pos,num_emoji_neg,num_emoji_neu,cleaned_text,tokenized,label
@thucnguyenvan5783,Khán giả cười mất kiểm soát😢,,😢,,0,1,0,khán_giả cười kiểm_soát,"['khán_giả', 'cười', 'mất', 'kiểm_soát']",0
@VanChau-o3j,Đậm chất hài và cũng vô cùng duyên dáng.,,,,0,0,0,đậm chất hài vô_cùng duyên_dáng,"['đậm', 'chất', 'hài', 'và', 'cũng', 'vô_cùng', 'duyên_dáng']",2
@GiaPhatt02,"3:00 Lông nhiều sinh lý mạnh -> men
Ủa sao mình cx lông mà mình bot ta :))",,,,0,0,0,300 lông sinh_lý men cx_lông bot ta,"['300', 'lông', 'nhiều', 'sinh_lý', 'mạnh', 'men', 'ủa', 'sao', 'mình', 'cx_lông', 'mà', 'mình', 'bot', 'ta']",2
@nguyenthanhtinh2774,Có thể là replay liên tục,,,,0,0,0,có_thể replay liên_tục,"['có_thể', 'là', 'replay', 'liên_tục']",2
@nmhung2025,"Tại sao cứ phải mang phụ huynh bạn vào đây để cười? Tôi thấy nó không phù hợp. Và tôi đã không thể cười.
Đồng thời tôi cũng không muốn xem tiếp các vìdeo khác của bạn.",,,,0,0,0,tại_sao phụ_huynh cười không_phù_hợp không_thể cười đồng_thời không_muốn tiếp vìdeo,"['tại_sao', 'cứ', 'phải', 'mang', 'phụ_huynh', 'bạn', 'vào', 'đây', 'để', 'cười', 'tôi', 'thấy', 'nó', 'không_phù_hợp', 'và', 'tôi', 'đã', 'không_thể', 'cười', 'đồng_thời', 'tôi', 'cũng', 'không_muốn', 'xem', 'tiếp', 'các', 'vìdeo', 'khác', 'của', 'bạn']",2
@AnhTruong-np2df,Phần này hài dã man😂,😂,,,1,0,0,hài_dã_man,"['phần', 'này', 'hài_dã_man']",1
@datho2938,omg,,,,0,0,0,omg,['omg'],2
@OanhTu-n4u,"Hay quá em trai, các em diễn rất thu hút, cho em triệu like",,,,0,0,0,em_trai diễn thu_hút triệu,"['hay', 'quá', 'em_trai', 'các', 'em', 'diễn', 'rất', 'thu_hút', 'cho', 'em', 'triệu', 'thích']",2
@khanhtrinhle4459,hh,,,,0,0,0,hh,['hh'],2
@CLarkzzClarkzz,"Diễn nay kỳ quá,vừa ồn vừa có mấy cái miếng hơi vô duyên nx",,,,0,0,0,diễn kỳ_quávừa ồn mấy miếng hơi vô_duyên nx,"['diễn', 'nay', 'kỳ_quávừa', 'ồn', 'vừa', 'có', 'mấy', 'cái', 'miếng', 'hơi', 'vô_duyên', 'nx']",2
@thuho3146,Quá duyên. Xem hoài không chán,,,,0,0,0,duyên hoài không_chán,"['quá', 'duyên', 'xem', 'hoài', 'không_chán']",2
@tmga6117,Bạn này diễn ko hay :))),,,,0,0,0,diễn không_hay,"['bạn', 'này', 'diễn', 'không_hay']",2
@teamchayloanhquanh7625,Nam ơi là Nam =)) cười đé ra máo,,,,0,0,0,nam ơi_là nam cười đé máo,"['nam', 'ơi_là', 'nam', 'cười', 'đé', 'ra', 'máo']",2
@tuvu5288,Thật sự bây giờ mới hiểu gánh team là như thế nào. Ông này định 1mk gánh cả sg tếu thật hã😂😂😂,😂😂😂,,,3,0,0,thật_sự bây_giờ gánh team như_thế_nào định 1 mk gánh sg tếu hã,"['thật_sự', 'bây_giờ', 'mới', 'hiểu', 'gánh', 'team', 'là', 'như_thế_nào', 'ông', 'này', 'định', '1', 'mk', 'gánh', 'cả', 'sg', 'tếu', 'thật', 'hã']",1
@voduykhanh20,"mình nghĩ nên mời anh Long ở show diễn sau là ok, ảnh hỗ trợ bạn Nam quá nhiều, và làm ảnh tổn thương nữa",,,,0,0,0,mời long show diễn ok ảnh hỗ_trợ nam ảnh tổn_thương,"['mình', 'nghĩ', 'nên', 'mời', 'anh', 'long', 'ở', 'show', 'diễn', 'sau', 'là', 'ok', 'ảnh', 'hỗ_trợ', 'bạn', 'nam', 'quá', 'nhiều', 'và', 'làm', 'ảnh', 'tổn_thương', 'nữa']",2
@NhanNguyen-uh2sf,Tôi sẽ không bao giờ coi Sài gòn tếu nữa .... ăn cơm không yên nổi ăn 1 muỗng mà sặc tới cổ họng 🥶,,,,0,0,0,không_bao_giờ coi sài gòn tếu cơm không_yên nổi 1 muỗng sặc cổ_họng,"['tôi', 'sẽ', 'không_bao_giờ', 'coi', 'sài', 'gòn', 'tếu', 'nữa', 'ăn', 'cơm', 'không_yên', 'nổi', 'ăn', '1', 'muỗng', 'mà', 'sặc', 'tới', 'cổ_họng']",2
@khangvo-j5d,"""tên long mà ko có long ha"" hit hard🔥",🔥,,,1,0,0,long không_có long ha hit hard,"['tên', 'long', 'mà', 'không_có', 'long', 'ha', 'hit', 'hard']",1
@duyetthaobui4851,11:06 xác nhận chuẩn nha 😂,😂,,,1,0,0,1106 xác_nhận chuẩn nha,"['1106', 'xác_nhận', 'chuẩn', 'nha']",1
@viethungnguyen6954,"Đỉnh, coi đi coi lại vẫn hay🎉",🎉,,,1,0,0,đỉnh coi đi coi,"['đỉnh', 'coi', 'đi', 'coi', 'lại', 'vẫn', 'hay']",1
@binhluong026,coi vui vãi,,,,0,0,0,coi vui vãi,"['coi', 'vui', 'vãi']",2
@thuhaotran17,Tích cực cái tiêu cực lên thì đó là hài chân chính,,,,0,0,0,tích_cực tiêu_cực hài chân_chính,"['tích_cực', 'cái', 'tiêu_cực', 'lên', 'thì', 'đó', 'là', 'hài', 'chân_chính']",2
@p.p.p9226,coi đi con lại mấy lần nhưng vẫn buồn cười như lần đầu thì thật sự lần này anh Nam diễn rất hay nha ,,,,0,0,0,coi đi mấy buồn_cười đầu thật_sự nam diễn nha,"['coi', 'đi', 'con', 'lại', 'mấy', 'lần', 'nhưng', 'vẫn', 'buồn_cười', 'như', 'lần', 'đầu', 'thì', 'thật_sự', 'lần', 'này', 'anh', 'nam', 'diễn', 'rất', 'hay', 'nha']",2
@MozzareIIa30,"Cần nhiều hơn mấy cái roast khán giả nha :)))) những người bỏ tiền ra đi coi show này chứng tỏ họ có good sense of humor, cho nên trong 1 phạm vi nào đó thì roast + tương tác với khán giả rất hay, và mảng miếng này là vô hạn. Chúc Nam và SG tếu thành công",,,,0,0,0,mấy roast khán_giả_nha tiền đi coi show chứng_tỏ sense of_humor cho_nên 1 phạm_vi nào_đó roast tương_tác khán_giả mảng miếng vô_hạn chúc nam sg_tếu thành_công,"['cần', 'nhiều', 'hơn', 'mấy', 'cái', 'roast', 'khán_giả_nha', 'những', 'người', 'bỏ', 'tiền', 'ra', 'đi', 'coi', 'show', 'này', 'chứng_tỏ', 'họ', 'có', 'tốt', 'sense', 'of_humor', 'cho_nên', 'trong', '1', 'phạm_vi', 'nào_đó', 'thì', 'roast', 'tương_tác', 'với', 'khán_giả', 'rất', 'hay', 'và', 'mảng', 'miếng', 'này', 'là', 'vô_hạn', 'chúc', 'nam', 'và', 'sg_tếu', 'thành_công']",2
@DungTran-yp9ce,"Nói nhỏ giúp mình  cái tiệm nào với Phương Nam ơi. Địa chỉ nữa nhé. Chúc các bạn luôn vui, khỏe và thành công.",,,,0,0,0,giúp tiệm phương nam địa_chỉ nhé_chúc vui_khỏe thành_công,"['nói', 'nhỏ', 'giúp', 'mình', 'cái', 'tiệm', 'nào', 'với', 'phương', 'nam', 'ơi', 'địa_chỉ', 'nữa', 'nhé_chúc', 'các', 'bạn', 'luôn', 'vui_khỏe', 'và', 'thành_công']",2
@thisisTopwife,coi lại 6 lần rồi và chưa có dấu hiệu ngưng lại,,,,0,0,0,coi 6 chưa_có dấu_hiệu ngưng,"['coi', 'lại', '6', 'lần', 'rồi', 'và', 'chưa_có', 'dấu_hiệu', 'ngưng', 'lại']",2
@tranlenhan6422,2:09 có thể trở thành meme,,,,0,0,0,209 có_thể trở_thành meme,"['209', 'có_thể', 'trở_thành', 'meme']",2
@PINANDNA,Cười điêng luôn trời 😂😂😂,😂😂😂,,,3,0,0,cười điêng trời,"['cười', 'điêng', 'luôn', 'trời']",1
@Thuydao_95,"Mê cha Nam dữ chời,cái đoạn cuối ổng cảm ơn khán giả xong ổng phấn khích dữ luôn,chắc ổng cũng tự hào về bản thân lắm,diễn xong set rất ấn tượng,kiểu "" làm được rồi Nam ơi"" 😊😊 thấy ổng cưng dữ",😊😊,,,2,0,0,mê nam_dữ chờicái đoạn cảm_ơn khán_giả xong phấn_khích luônchắc tự_hào bản_thân lắmdiễn xong set ấn_tượngkiểu nam cưng,"['mê', 'cha', 'nam_dữ', 'chờicái', 'đoạn', 'cuối', 'ổng', 'cảm_ơn', 'khán_giả', 'xong', 'ổng', 'phấn_khích', 'dữ', 'luônchắc', 'ổng', 'cũng', 'tự_hào', 'về', 'bản_thân', 'lắmdiễn', 'xong', 'set', 'rất', 'ấn_tượngkiểu', 'làm', 'được', 'rồi', 'nam', 'ơi', 'thấy', 'ổng', 'cưng', 'dữ']",1
@Bác_Sĩ_Lụi,Chỉ có thể là Phương Nam mà thôi,,,,0,0,0,có_thể phương_nam,"['chỉ', 'có_thể', 'là', 'phương_nam', 'mà', 'thôi']",2
@ThachNguyen-ic1vq,Trường hợp vk bạn bị nói xấu thì giải quyết bằg cách này còn trường hợp vk bạn nói xấu ng khác cho bạn nghe thì giải quyết sao mn ?,,,,0,0,0,trường_hợp vk nói_xấu giải_quyết bằg trường_hợp vk nói_xấu ng giải_quyết,"['trường_hợp', 'vk', 'bạn', 'bị', 'nói_xấu', 'thì', 'giải_quyết', 'bằg', 'cách', 'này', 'còn', 'trường_hợp', 'vk', 'bạn', 'nói_xấu', 'ng', 'khác', 'cho', 'bạn', 'nghe', 'thì', 'giải_quyết', 'sao', 'mọi', 'người']",2
@quyenpham-xx1ky,tui không cần nghe nhạc tui cần nghe hài phương nam,,,,0,0,0,tui không_cần nhạc tui hài_phương nam,"['tui', 'không_cần', 'nghe', 'nhạc', 'tui', 'cần', 'nghe', 'hài_phương', 'nam']",2
@QuangThienLe-mi1pk,"mong Saigon Tếu ra thêm nhiều set của a Nam hơn, tại chỉ xem được mỗi a Nam mà thấy hài:))",,,,0,0,0,mong saigon tếu set a_nam a_nam hài,"['mong', 'saigon', 'tếu', 'ra', 'thêm', 'nhiều', 'set', 'của', 'a_nam', 'hơn', 'tại', 'chỉ', 'xem', 'được', 'mỗi', 'a_nam', 'mà', 'thấy', 'hài']",2
@LeHaoNguyen,"Xem đến lần thứ 4 mới để ý cái đoạn ""ĐỨAAAAAA NÀOOOOOO"" chính là mình cách đây hơn chục năm 😂😂😂 Đứa em gái mình đi làm thêm ở nhà hàng gần nhà bị mấy đứa khác bắt nạt, mình cũng ""ĐỨAAAAA NÀOOOOO!!! Ra chỉ mặt anh phang chết cả lò nhà nó!!!"" 🤣🤣🤣",😂😂😂🤣🤣🤣,,,6,0,0,4 để_ý đoạn đứaaaaaa nàoooooo chục đứa em_gái đi nhà_hàng mấy đứa bắt_nạt đứaaaaa nàooooo mặt phang chết lò,"['xem', 'đến', 'lần', 'thứ', '4', 'mới', 'để_ý', 'cái', 'đoạn', 'đứaaaaaa', 'nàoooooo', 'chính', 'là', 'mình', 'cách', 'đây', 'hơn', 'chục', 'năm', 'đứa', 'em_gái', 'mình', 'đi', 'làm', 'thêm', 'ở', 'nhà_hàng', 'gần', 'nhà', 'bị', 'mấy', 'đứa', 'khác', 'bắt_nạt', 'mình', 'cũng', 'đứaaaaa', 'nàooooo', 'ra', 'chỉ', 'mặt', 'anh', 'phang', 'chết', 'cả', 'lò', 'nhà', 'nó']",1
@blacktran1991,"hay quá Nem ơiiiiii
xuất...xuất...xuất video nhiều tí nữa Nem ơi :)))",,,,0,0,0,nem ơiiiiii xuấtxuấtxuất_video tí nem,"['hay', 'quá', 'nem', 'ơiiiiii', 'xuấtxuấtxuất_video', 'nhiều', 'tí', 'nữa', 'nem', 'ơi']",2
@ACHING-m3u,Kênh này giấu ông quá trời. Làm fan quên mất ông,,,,0,0,0,kênh giấu trời fan quên,"['kênh', 'này', 'giấu', 'ông', 'quá', 'trời', 'làm', 'fan', 'quên', 'mất', 'ông']",2
@Thuydao_95,"Xem set này cười từ đầu đến cuối,Nam bnay đô con tóc tai ngôn ngữ hình thể rất okieee ấy",,,,0,0,0,set cười đầu cuốinam bnay_đô tóc_tai ngôn_ngữ hình_thể okieee,"['xem', 'set', 'này', 'cười', 'từ', 'đầu', 'đến', 'cuốinam', 'bnay_đô', 'con', 'tóc_tai', 'ngôn_ngữ', 'hình_thể', 'rất', 'okieee', 'ấy']",2
@LinhNguyễn-b5o3x,ủa trọng phan ko làm ở sài gòn tếu nữa hả mn,,,,0,0,0,ủa_trọng phan_không sài gòn tếu hả,"['ủa_trọng', 'phan_không', 'làm', 'ở', 'sài', 'gòn', 'tếu', 'nữa', 'hả', 'mọi', 'người']",2
@endykim7303,Mê ổng nhất trong sgt á❤,❤,,,1,0,0,mê sgt,"['mê', 'ổng', 'nhất', 'trong', 'sgt', 'á']",1
@nguyetangthi9430,Nam nói đúng ko tốt sao ngủ ngon vậy nên đành chấp nhận cho số phận đi nam ơi,,,,0,0,0,nam không_tốt ngủ ngon đành chấp_nhận số_phận đi nam,"['nam', 'nói', 'đúng', 'không_tốt', 'sao', 'ngủ', 'ngon', 'vậy', 'nên', 'đành', 'chấp_nhận', 'cho', 'số_phận', 'đi', 'nam', 'ơi']",2
@NhungĐinhThị-l4b,thak cha đen xì kia cà hẩy cà hẩy vc :))),,,,0,0,0,thak đen_xì kia cà_hẩy cà_hẩy vc,"['thak', 'cha', 'đen_xì', 'kia', 'cà_hẩy', 'cà_hẩy', 'vc']",2
@KarradTruong,Nam TRAI BAO,,,,0,0,0,nam trai bao,"['nam', 'trai', 'bao']",2
@lecallion_marx8243,11:20 dark nhan tam,,,,0,0,0,1120 dark nhan_tam,"['1120', 'dark', 'nhan_tam']",2
@nguyencau8814,Anh stephen vũ đâu anh,,,,0,0,0,stephen_vũ,"['anh', 'stephen_vũ', 'đâu', 'anh']",2
@ngocthemnguyenthi7088,👍👍,👍👍,,,2,0,0,,[],1
@nguyênnguyễn-v2m2i,mấy cái set như này anh la nó mới hài á :))),,,,0,0,0,mấy set la hài_á,"['mấy', 'cái', 'set', 'như', 'này', 'anh', 'la', 'nó', 'mới', 'hài_á']",2
@kcg4829,"set này hài thật sự, chỉ mong anh Nam bớt cười thì joke càng hay",,,,0,0,0,set hài thật_sự mong nam bớt cười joke,"['set', 'này', 'hài', 'thật_sự', 'chỉ', 'mong', 'anh', 'nam', 'bớt', 'cười', 'thì', 'joke', 'càng', 'hay']",2
@TuấnHoàng-f5i,"Xem ông Nam k sót tập nào, làm hẳn playlist vừa làm việc vừa nghe 😂",😂,,,1,0,0,nam không_sót_tập hẳn playlist làm_việc,"['xem', 'ông', 'nam', 'không_sót_tập', 'nào', 'làm', 'hẳn', 'playlist', 'vừa', 'làm_việc', 'vừa', 'nghe']",1
@su-bach083,khúc 11.6 là khúc mà tui cười chảy nước mắt nhất 😂😂😂😂🤣🤣🤣🤣🤣,😂😂😂😂🤣🤣🤣🤣🤣,,,9,0,0,khúc 116 khúc tui cười chảy nước_mắt,"['khúc', '116', 'là', 'khúc', 'mà', 'tui', 'cười', 'chảy', 'nước_mắt', 'nhất']",1
@PhongPhungLe-sm2sp,Từ hôm nay tui sẽ cảm xúc lên,,,,0,0,0,hôm_nay tui cảm_xúc,"['từ', 'hôm_nay', 'tui', 'sẽ', 'cảm_xúc', 'lên']",2
@posh68,Bé áo hồng ngồi đầu làm ô nam cảm xúc quá.,,,,0,0,0,bé áo_hồng đầu ô_nam cảm_xúc,"['bé', 'áo_hồng', 'ngồi', 'đầu', 'làm', 'ô_nam', 'cảm_xúc', 'quá']",2
@SongSong-z4t,Hài hước quá! Cảm ơn Phương Nam Saigon đã mang lại tiếng cười cho mọi người.����,,,,0,0,0,hài hước cảm_ơn phương nam_saigon tiếng cười,"['hài', 'hước', 'quá', 'cảm_ơn', 'phương', 'nam_saigon', 'đã', 'mang', 'lại', 'tiếng', 'cười', 'cho', 'mọi', 'người']",2
@tranhoangtuanh-88,Gay cấn,,,,0,0,0,gay_cấn,['gay_cấn'],2
@tananhle697,Khán giả bị đười ươi nhập rồi,,,,0,0,0,khán_giả đười ươi nhập,"['khán_giả', 'bị', 'đười', 'ươi', 'nhập', 'rồi']",2
@hakoicute,Có khi nào mình có tính nam mạnh nên lần nào có đứa bạn kể bị bắt nạt/nấu xói câu đầu tiên mình cũng nói ĐỨA NÀOOOOOO - ĐỂ T XỬ LÝYYYYY=)))))))))))),,,,0,0,0,có_khi nam đứa bắt nạtnấu xói_câu đầu_tiên đứa nàoooooo t xử lýyyyyy,"['có_khi', 'nào', 'mình', 'có', 'tính', 'nam', 'mạnh', 'nên', 'lần', 'nào', 'có', 'đứa', 'bạn', 'kể', 'bị', 'bắt', 'nạtnấu', 'xói_câu', 'đầu_tiên', 'mình', 'cũng', 'nói', 'đứa', 'nàoooooo', 'để', 't', 'xử', 'lýyyyyy']",2
@haonhat2592,"Bình luận thứ 1000, ko biết nói gì chỉ bình luận 1000 cho nó đẹp thôi nhưng chúc sài gòn tếu ngày càng thành côg nhé",,,,0,0,0,bình_luận 1000 không_biết bình_luận 1000 đẹp chúc sài_gòn tếu ngày_càng thành côg,"['bình_luận', 'thứ', '1000', 'không_biết', 'nói', 'gì', 'chỉ', 'bình_luận', '1000', 'cho', 'nó', 'đẹp', 'thôi', 'nhưng', 'chúc', 'sài_gòn', 'tếu', 'ngày_càng', 'thành', 'côg', 'nhé']",2
@Anhhoang-e7p,Bạn này cần ra nhìu sản phẩm hơn bạn này là 1 thiên tài,,,,0,0,0,nhìu sản_phẩm 1 thiên_tài,"['bạn', 'này', 'cần', 'ra', 'nhìu', 'sản_phẩm', 'hơn', 'bạn', 'này', 'là', '1', 'thiên_tài']",2
@thanhlonglenguyen2258,Set này phóng khoáng xem rất là thoải mái luôn 🎉,🎉,,,1,0,0,set phóng_khoáng thoải_mái,"['set', 'này', 'phóng_khoáng', 'xem', 'rất', 'là', 'thoải_mái', 'luôn']",1
@nskhactuan,hay quá Phương Nam! 😆,,,,0,0,0,phương nam,"['hay', 'quá', 'phương', 'nam']",2
@szz-x8z9h,😂😂😂 má cười ná thở,😂😂😂,,,3,0,0,má cười ná thở,"['má', 'cười', 'ná', 'thở']",1
@nguyendang-uo1xw,"phương nam luôn đỉnh như vậy, ăn cơm tý phun ra hết luôn kkk",,,,0,0,0,phương nam đỉnh như_vậy cơm tý phun kkk,"['phương', 'nam', 'luôn', 'đỉnh', 'như_vậy', 'ăn', 'cơm', 'tý', 'phun', 'ra', 'hết', 'luôn', 'kkk']",2
@NgaNguyen-hw4pz,Xem Nam phát quên luôn vụ 88 trang 😂,😂,,,1,0,0,nam phát quên vụ 88 trang,"['xem', 'nam', 'phát', 'quên', 'luôn', 'vụ', '88', 'trang']",1
@tramhuynh1892,cười muốn bịnh với cái set này:)))),,,,0,0,0,cười bịnh set,"['cười', 'muốn', 'bịnh', 'với', 'cái', 'set', 'này']",2
@TrangThuy-xo9oj,Anh namm ko bh làm thất vọng luôn ý,,,,0,0,0,namm không_bh thất_vọng,"['anh', 'namm', 'không_bh', 'làm', 'thất_vọng', 'luôn', 'ý']",2
@TrangThuy-xo9oj,Đỉnh quáaaaaaa ❤😂😂😂😂😂,❤😂😂😂😂😂,,,6,0,0,đỉnh quáaaaaaa,"['đỉnh', 'quáaaaaaa']",1
@VuVu-so8wy,Tao cười điên luôn,,,,0,0,0,tao cười điên,"['tao', 'cười', 'điên', 'luôn']",2
@Mark-qh7gl,"Sài gòn không có Nam, không có Minh Ti. Sài gòn không tếu",,,,0,0,0,sài gòn không_có nam không_có minh_ti sài_gòn không_tếu,"['sài', 'gòn', 'không_có', 'nam', 'không_có', 'minh_ti', 'sài_gòn', 'không_tếu']",2
@Auto21Xanh,N tập tạ cái nhìn đô và men hơn hẳn,,,,0,0,0,n tập tạ đô men hẳn,"['n', 'tập', 'tạ', 'cái', 'nhìn', 'đô', 'và', 'men', 'hơn', 'hẳn']",2
@duongkhanh-kp1ig,"Phương Nam ngày càng đỉnh, xem PN từ những tập đầu. Chưa bao giờ thấy nhàm chán, quá xuất sắc.",,,,0,0,0,phương nam ngày_càng đỉnh pn tập đầu chưa_bao_giờ nhàm chán xuất_sắc,"['phương', 'nam', 'ngày_càng', 'đỉnh', 'xem', 'pn', 'từ', 'những', 'tập', 'đầu', 'chưa_bao_giờ', 'thấy', 'nhàm', 'chán', 'quá', 'xuất_sắc']",1
@wps2768,hợp lí,,,,0,0,0,hợp_lí,['hợp_lí'],2
@mthu1312,Tui khoái ông này nha ❤,❤,,,1,0,0,tui khoái nha,"['tui', 'khoái', 'ông', 'này', 'nha']",1
@ngocinhphuoc5958,Xàm xí đú. Tốn tiền mướn khán giả ngồi dưới để CƯỜI. Mấy người này bỏ vợ chồng con ở nhà mà vô ngồi cười mướn cho nó; được ba đồng ba cọc,,,,0,0,0,xàm_xí đú tốn tiền mướn khán_giả cười mấy vợ_chồng_con vô cười_mướn đồng cọc,"['xàm_xí', 'đú', 'tốn', 'tiền', 'mướn', 'khán_giả', 'ngồi', 'dưới', 'để', 'cười', 'mấy', 'người', 'này', 'bỏ', 'vợ_chồng_con', 'ở', 'nhà', 'mà', 'vô', 'ngồi', 'cười_mướn', 'cho', 'nó', 'được', 'ba', 'đồng', 'ba', 'cọc']",2
@vuongtranquoc8317,😆,,,,0,0,0,,[],2
@vien-co-ma-than-ngoai-vuc,Tên Long ko có ô nên đầu ko tóc😅,😅,,,1,0,0,long không_có ô đầu không_tóc,"['tên', 'long', 'không_có', 'ô', 'nên', 'đầu', 'không_tóc']",1
@achihuynh8104,Ah nam mãi đỉnh 🎉🎉🎉,🎉🎉🎉,,,3,0,0,ah nam mãi đỉnh,"['ah', 'nam', 'mãi', 'đỉnh']",1
@HienTran-yl6yz,🎉🎉❤❤,🎉🎉❤❤,,,4,0,0,,[],1
@user-jl1zx9qo6s,coi mà muốn cười sặc sụa nhiều quá mém tắc thở luôn :))). Chúc team mình luôn thành công ạ. Phương Nam quá giỏi!,,,,0,0,0,coi cười sặc_sụa mém_tắc thở chúc team thành_công ạ_phương nam giỏi,"['coi', 'mà', 'muốn', 'cười', 'sặc_sụa', 'nhiều', 'quá', 'mém_tắc', 'thở', 'luôn', 'chúc', 'team', 'mình', 'luôn', 'thành_công', 'ạ_phương', 'nam', 'quá', 'giỏi']",2
@thanhquy9472,Chúng Ta Của Tương 2025,,,,0,0,0,chúng_ta tương 2025,"['chúng_ta', 'của', 'tương', '2025']",2
@thanhquy9472,Chúng Ta Của Hiện Tại 2025,,,,0,0,0,chúng_ta hiện_tại 2025,"['chúng_ta', 'của', 'hiện_tại', '2025']",2
@VănPhúcVõ-f8b,11:06 ĐỨA NÀOOOO!!!,,,,0,0,0,1106 đứa nàoooo,"['1106', 'đứa', 'nàoooo']",2
@TuoiNguoiYeu,Coi hoài không thấy chán luôn á trời,,,,0,0,0,coi hoài không_thấy chán á_trời,"['coi', 'hoài', 'không_thấy', 'chán', 'luôn', 'á_trời']",2
@aichomanhin,hi,,,,0,0,0,hi,['hi'],2
@XuanTran-g4h,Đúng là phước mỏng thật🤣,🤣,,,1,0,0,phước mỏng,"['đúng', 'là', 'phước', 'mỏng', 'thật']",1
@zerosdefi,zui,,,,0,0,0,zui,['zui'],2
@TriPham-is9qy,Phương Nam mãi đỉnh,,,,0,0,0,phương nam mãi đỉnh,"['phương', 'nam', 'mãi', 'đỉnh']",2
@BảoPhùng-i2c,Cái anh đầu trọc giống chú đầu trọc trên tiktok ghê á,,,,0,0,0,đầu trọc đầu trọc tiktok ghê_á,"['cái', 'anh', 'đầu', 'trọc', 'giống', 'chú', 'đầu', 'trọc', 'trên', 'tiktok', 'ghê_á']",2
@haibui110,Set này hay,,,,0,0,0,set,"['set', 'này', 'hay']",2
